Average monthly nominal earnings of employees*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",1970,1975,1980,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025**
Total,106.1,118.9,145.2,167.6,170.6,177.2,186.9,197.7,214,270.3,1528,27950,6151.6,13.5,29,42.5,55.4,67.5,72.3,94.6,113.5,125.9,156.6,204.2,277.9,368.1,534.9,556.8,597.6,636.0,712.5,773.1,818.0,900.4,940.0,999.1,1068.3,1129.5,1191.0,1304.5,1543.0,1766.8,1970.8,2282.7
"",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,47.4,52.1,63.5,75.7,85.7,108.3,131.1,177.6,240.2,367.7,398.3,426.6,460.2,517.9,585.0,617.9,692.5,731.2,770.2,822.6,869.1,952.2,1055.5,1247.7,1425.4,1591.6,
Men,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,90.9,95.9,125.2,150.1,163.0,200.8,267.9,362.0,475.6,678.4,690.8,742.8,771.1,859.6,920.3,980.0,1074.3,1116.6,1197.4,1280.7,1361.8,1407.7,1537.9,1827.0,2099.8,2340.7,
Type of ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,66.6,85.7,104.1,114.5,144.3,193.6,249.2,312.3,481.3,512.6,539.1,589.1,656.1,738.7,788.5,825.6,855.2,861.2,892.1,973.7,1024.4,1117.2,1285.6,1487.5,1680.5,
Non-public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,94.8,123.5,145.1,167.1,190.9,227.6,316.3,437.8,603.4,608.5,661.1,670.2,748.6,795.1,836.4,945.1,990.9,1077.1,1164.0,1211.1,1284.9,1408.7,1675.1,1907.9,2116.5,
Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,285.8,381.6,519.8,538.1,592.7,622.6,714.3,760.1,800.5,896.8,938.3,1019.7,1101.3,1161.7,1222.9,1347.6,1605.9,1827.3,2024.4,
Non-business,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,265.7,348.8,553.2,580.5,603.9,658.1,709.5,794.3,847.1,906.4,943.0,962.7,1008.1,1068.5,1135.7,1228.0,1423.5,1649.6,1866.8,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Currency - before 1993 -Rouble; 1993 - Coupon; 1994 - Thousand Coupon; since 1995 - Lari.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Preliminary data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
