"Consumer basket weights, %",,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
N,Level,COICOP code,Groups/subgroups,Year,,,,,,,,,,,,,,
"",,,,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,0,Total,,100.00%,100.00%,1,100.00%,100.00%,1,1,1,1,1,1,1,1,1,1
2,2,1,Food and non-alcoholic beverages,30.32%,30.69%,30.25%,30.74%,31.10%,30.09%,30.29%,30.76%,31.27%,32.16%,33.09%,33.73%,33.39%,34.47%,33.58%
3,3,11,Food,27.45%,28.01%,27.37%,27.95%,27.83%,26.92%,26.86%,27.27%,28.03%,28.91%,30.23%,30.87%,30.44%,31.72%,30.82%
4,3,12,Non-alcoholic beverages,2.87%,2.68%,2.88%,2.79%,3.27%,3.17%,3.42%,3.49%,3.24%,3.25%,2.86%,2.87%,2.94%,2.75%,2.76%
5,2,2,Alcoholic beverages and tobacco,5.50%,5.36%,5.08%,5.19%,6.02%,6.39%,6.72%,6.61%,6.39%,6.39%,6.66%,6.93%,6.76%,6.42%,6.58%
6,3,21,Alcoholic beverages,2.16%,2.64%,2.19%,2.27%,3.18%,3.50%,3.43%,3.61%,3.54%,3.29%,3.38%,3.55%,3.47%,3.11%,3.04%
7,3,22,Tobacco,3.33%,2.71%,2.89%,2.93%,2.84%,2.90%,3.29%,3.01%,2.85%,3.10%,3.28%,3.38%,3.29%,3.31%,3.54%
8,2,3,Clothing and footwear,2.65%,2.58%,2.87%,2.86%,3.13%,3.35%,3.56%,3.72%,3.92%,3.78%,3.89%,3.99%,3.99%,4.72%,4.35%
9,3,31,Clothing,1.79%,1.75%,2.01%,1.98%,2.23%,2.27%,2.42%,2.49%,2.40%,2.27%,2.58%,2.82%,2.85%,3.10%,2.80%
10,3,32,Footwear,0.86%,0.82%,0.86%,0.87%,0.90%,1.08%,1.15%,1.22%,1.51%,1.50%,1.31%,1.18%,1.13%,1.62%,1.54%
11,2,4,"Housing, water, electricity, gas and other fuels",8.23%,8.78%,8.38%,8.48%,8.24%,8.38%,8.49%,8.77%,9.04%,9.03%,8.97%,9.03%,8.75%,9.84%,9.68%
12,3,41,Actual rentals for housing,0.90%,1.07%,1.11%,1.15%,1.19%,1.15%,1.06%,1.14%,1.56%,2.29%,1.95%,1.84%,1.92%,2.48%,2.64%
13,3,43,Maintenance and repair of the dwelling,0.93%,0.78%,0.87%,0.85%,0.98%,0.91%,0.96%,1.12%,1.18%,0.96%,0.92%,0.89%,0.84%,0.96%,0.94%
14,3,44,Water supply and miscellaneous services relating to the dwelling,1.03%,1.50%,0.94%,1.36%,1.12%,0.99%,0.98%,0.95%,1.00%,0.98%,0.89%,1.00%,0.82%,1.00%,1.12%
15,3,45,"Electricity, gas and other fuels",5.38%,5.43%,5.46%,5.12%,4.95%,5.33%,5.49%,5.56%,5.29%,4.80%,5.21%,5.29%,5.17%,5.39%,4.98%
16,2,5,"Furnishings, household equipment and routine household maintenance",5.07%,4.80%,6.21%,6.43%,6.40%,6.56%,6.35%,6.45%,5.94%,5.31%,5.18%,5.16%,5.46%,5.30%,5.03%
17,3,51,"Furniture and furnishings, carpets and other floor coverings",0.34%,0.34%,0.56%,0.91%,0.82%,0.80%,0.70%,0.82%,0.70%,0.55%,0.61%,0.48%,0.48%,0.65%,0.57%
18,3,52,Household textiles,0.09%,0.10%,0.13%,0.12%,0.14%,0.16%,0.14%,0.12%,0.13%,0.12%,0.10%,0.09%,0.10%,0.08%,0.06%
19,3,53,Household appliances,1.99%,1.81%,2.57%,2.29%,2.32%,2.52%,2.36%,2.13%,1.71%,1.47%,1.21%,1.10%,1.06%,1.08%,0.95%
20,3,54,"Glassware, tableware and household utensils",0.70%,0.68%,0.73%,0.72%,0.80%,0.73%,0.70%,0.76%,0.82%,0.67%,0.67%,0.73%,1.02%,0.93%,0.98%
21,3,55,Tools and equipment for house and garden,0.07%,0.02%,0.04%,0.04%,0.07%,0.08%,0.07%,0.07%,0.05%,0.04%,0.03%,0.04%,0.04%,0.05%,0.04%
22,3,56,Goods and services for routine household maintenance,1.88%,1.85%,2.18%,2.35%,2.26%,2.26%,2.38%,2.55%,2.54%,2.46%,2.56%,2.72%,2.75%,2.51%,2.42%
23,2,6,Health,7.54%,9.04%,10.09%,9.46%,9.81%,8.42%,8.61%,8.02%,7.84%,7.76%,9.48%,9.41%,9.39%,8.06%,8.32%
24,3,61,"Medical products, appliances and equipment",2.87%,3.45%,2.38%,2.49%,2.60%,2.84%,3.01%,3.19%,3.42%,3.57%,5.75%,6.15%,6.11%,4.57%,4.48%
25,3,62,Out-patient services,2.44%,2.48%,4.00%,3.85%,3.49%,2.80%,2.85%,2.30%,2.19%,2.32%,2.10%,1.84%,1.88%,2.04%,2.21%
26,3,63,Hospital services,2.23%,3.11%,3.71%,3.11%,3.72%,2.78%,2.75%,2.53%,2.22%,1.88%,1.62%,1.42%,1.39%,1.45%,1.63%
27,2,7,Transport,12.76%,12.74%,11.82%,11.80%,12.10%,13.12%,12.60%,12.14%,12.06%,12.99%,11.83%,12.30%,12.05%,10.94%,11.43%
28,3,71,Purchase of vehicles,0.96%,0.87%,0.86%,0.74%,0.73%,0.96%,0.88%,0.89%,0.89%,0.86%,1.26%,1.62%,1.64%,1.76%,1.97%
29,3,72,Operation of personal transport equipment,7.98%,8.52%,7.75%,7.89%,7.85%,8.46%,8.21%,7.94%,7.85%,8.83%,8.13%,8.11%,7.81%,6.94%,7.15%
30,3,73,Transport services,3.82%,3.35%,3.21%,3.17%,3.53%,3.69%,3.50%,3.30%,3.32%,3.31%,2.44%,2.57%,2.60%,2.24%,2.31%
31,2,8,Communication,5.60%,4.09%,3.61%,3.61%,3.24%,3.69%,3.90%,3.58%,3.81%,3.63%,3.78%,3.57%,3.70%,3.20%,3.14%
32,3,82,Telephone and telefax equipment,0.02%,0.04%,0.04%,0.89%,0.03%,0.69%,0.83%,0.70%,0.82%,0.71%,0.68%,0.68%,0.66%,0.47%,0.44%
33,3,83,Telephone and telefax services,5.57%,4.05%,3.57%,2.72%,3.21%,3.00%,3.07%,2.88%,2.99%,2.92%,3.10%,2.89%,3.04%,2.73%,2.70%
34,2,9,Recreation and culture,6.82%,6.73%,6.56%,7.11%,6.15%,6.36%,5.77%,5.65%,3.82%,3.67%,3.02%,3.11%,3.34%,3.83%,4.15%
35,3,91,"Audio-visual, photographic and information processing equipment",0.86%,0.84%,0.72%,0.78%,1.19%,1.22%,1.24%,0.66%,0.51%,0.54%,0.62%,0.63%,0.74%,0.83%,1.15%
36,3,92,Other major durables for recreation and culture,…,…,0.23%,0.02%,0.01%,0.04%,0.04%,0.02%,0.01%,0.02%,0.02%,0.01%,0.02%,0.01%,0.02%
37,3,93,"Other recreational items and equipment, gardens and pets",0.67%,0.14%,0.21%,0.24%,0.11%,0.53%,0.48%,0.28%,0.36%,0.38%,0.38%,0.48%,0.54%,0.69%,0.67%
38,3,94,Recreational and cultural services,3.25%,4.20%,4.55%,4.31%,2.99%,2.63%,2.19%,0.83%,0.88%,0.85%,0.70%,0.77%,0.84%,0.86%,0.87%
39,3,95,"Newspapers, books and stationery",2.04%,1.55%,0.84%,1.76%,1.86%,1.93%,1.81%,0.92%,0.97%,0.89%,0.89%,0.87%,0.86%,0.96%,1.04%
40,3,96,Package holidays,…,…,…,…,…,…,…,2.94%,1.08%,1.00%,0.41%,0.34%,0.34%,0.47%,0.41%
41,2,10,Education,6.07%,4.87%,5.42%,5.03%,4.98%,4.70%,4.61%,5.00%,5.00%,4.55%,4.88%,4.44%,4.65%,5.41%,5.35%
42,3,101,Pre-primary and primary education,0.29%,0.34%,0.34%,0.34%,0.33%,0.30%,0.32%,0.38%,0.32%,0.25%,0.25%,0.26%,0.35%,0.31%,0.31%
43,3,102,Secondary education,1.73%,2.04%,2.34%,2.21%,2.14%,2.01%,2.09%,2.20%,2.23%,2.41%,2.63%,2.19%,2.31%,2.71%,2.68%
44,3,103,Post-secondary non-tertiary education,3.84%,2.42%,2.67%,2.43%,2.35%,2.33%,2.15%,2.36%,2.40%,1.84%,1.95%,1.96%,1.95%,2.33%,2.31%
45,3,105,Education not definable by level,0.21%,0.07%,0.07%,0.06%,0.15%,0.06%,0.06%,0.06%,0.06%,0.05%,0.05%,0.04%,0.04%,0.05%,0.05%
46,2,11,Restaurants and hotels,4.40%,5.23%,4.96%,4.80%,4.01%,4.06%,4.04%,4.03%,5.40%,5.42%,3.94%,3.08%,3.30%,3.13%,3.34%
47,3,111,Catering services,4.16%,4.90%,4.64%,4.42%,3.60%,3.69%,3.65%,3.66%,4.87%,4.90%,3.58%,2.67%,2.77%,2.67%,2.84%
